date,BASIC INDUSTRIES MOVE-AVG,HEALTH CARE MOVE-AVG,CONSUMER DURABLES MOVE-AVG,TECHNOLOGY MOVE-AVG,CONSUMER SERVICES MOVE-AVG,ENERGY MOVE-AVG,MISCELLANEOUS MOVE-AVG,FINANCE MOVE-AVG,CONSUMER NON-DURABLES MOVE-AVG,CAPITAL GOODS MOVE-AVG,PUBLIC UTILITIES MOVE-AVG,TRANSPORTATION MOVE-AVG
2005-10-21,1008085.1664320095,970158.0011958171,446484.58859114326,2895932.7568652555,1055035.2614062272,2229378.447950383,1068621.8970123744,461198.65092171857,1005228.0258835118,710672.192157041,936592.0498613227,842014.5927918
2005-10-24,1007801.0151433938,973529.3439272812,445430.2582560463,2901684.6374016544,1054425.4561017426,2238507.3392923744,1067528.218561196,463114.3837224408,1006444.8259411944,712621.6542457393,940233.1680693025,844705.616767824
2005-10-25,1009383.5139009715,978130.7348199319,445764.76222430024,2907443.5914209466,1054517.1293933357,2255359.5887774103,1072609.6192556405,464061.9796278579,1003345.619591988,711816.1514121763,940562.6999320475,841642.1621912116
2005-10-26,1011029.2491102067,980320.6041794438,443934.9100276413,2922705.9735182663,1055481.615160368,2273786.288475422,1074828.486363443,466546.29859821306,1001244.2412314329,713938.2427961424,942610.2565133176,841085.2324737556
2005-10-27,1014391.5518412698,983963.9546435878,446335.99093444424,2924418.731991519,1061204.6947702952,2287540.3226320064,1074691.8139367518,468152.4683612294,1002941.2485567896,715825.9151832141,943524.994310852,838694.3769007572
2005-10-28,1017440.0232976888,990278.6505318525,448397.7927245928,2944972.321515952,1064108.319270116,2304548.9497303907,1063684.3789798985,470352.3974925638,1002913.8451856383,717654.3273856323,946437.0208834565,840653.8309387828
2005-10-31,1019236.3030205262,995043.2452477912,448504.4876099543,2960952.698839312,1065878.2876338703,2312851.6640364584,1060938.6778390256,473615.8890357843,1006245.456574445,720328.0942378277,948955.9291135367,838936.6693305498
2005-11-01,1018439.9158309961,1001542.1453681518,448184.8910577639,2976120.844552178,1069913.3257181074,2314581.698912665,1061054.9065630792,476677.39808767266,1004750.4106145256,722781.9466224123,952091.8746519511,841774.2743725666
2005-11-02,1019510.8199744717,1010386.3013301335,448973.01714222186,3002317.235657064,1074160.053311275,2326064.0663951826,1062511.7699356687,479248.34879830683,1011622.1581753005,724449.3106117849,954965.0617681601,846139.4605752528
2005-11-03,1023128.6048641852,1020275.5355791253,450160.9654015602,3019687.3762980564,1086177.4050916643,2337663.98831671,1067405.4407537393,481540.4142606866,1017238.8886816149,727139.8001103399,962258.0634626334,851451.7377083283
2005-11-04,1023821.1240534445,1025664.9250058956,452850.85999760084,3028062.912552191,1087609.2804813397,2352112.311574097,1066661.5480855608,483215.5066034312,1017419.5949972275,728501.7993942169,961539.0055728108,853032.0817690295
2005-11-07,1022715.4463581239,1026286.3384229118,455367.041831816,3030622.003511567,1088385.6301532974,2365462.3317567944,1072896.223432783,483915.5341975506,1010903.5865522167,729758.1045582191,961481.7580237911,851838.8278007755
2005-11-08,1019179.5138303455,1025343.8054273708,456516.41777333483,3016451.1856366424,1088065.5059862668,2365059.1809812323,1086870.8119553716,482078.960387068,1000987.5384475213,731273.0209012942,957083.678426989,851261.1965012574
2005-11-09,1009746.2137797944,1029595.6844473635,459638.6008176848,3018131.0641178438,1088073.004603229,2374672.3281100574,1090264.1552093397,482517.6141541362,1013443.5458055867,733937.147742614,957466.4824286262,849948.6625988076
2005-11-10,1009983.6628325338,1034615.3432539302,462921.9554032227,3022689.5447174907,1092054.4255795048,2398260.4767449233,1092393.3692165131,486443.7645065695,1019155.9008144664,736645.1509465728,958863.1098001061,852243.8856992938
2005-11-11,1010286.440961929,1037363.4429028853,464779.93910491426,3015446.558936097,1093225.331986675,2410096.446574076,1096602.2629121859,487890.70279470977,1020085.5857232559,735727.9365782787,959947.7074700199,854354.8152668023
